Assembly	MP_helen_r10_bins_1	MP_helen_r10_bins_2	MP_helen_r10_bins_3	MP_r10_bins_1	MP_r10_bins_2	MP_r10_bins_3	r1_medaka_r10_bins_1	r1_medaka_r10_bins_2	r1_medaka_r10_bins_3	r2_medaka_r10_bins_1	r2_medaka_r10_bins_2	r2_medaka_r10_bins_3	racon_r1_r10_bins_1	racon_r1_r10_bins_2	racon_r1_r10_bins_3	racon_r2_r10_bins_1	racon_r2_r10_bins_2	racon_r2_r10_bins_3	raw_r10_bins_1	raw_r10_bins_2	raw_r10_bins_3
# misassemblies	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
  # contig misassemblies	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	2845363	2845435	2845364	2845421	2845426	2845426	2845430	2845432	2845434	2845429	2845433	2845432	2845290	2845293	2845290	2845315	2845310	2845306	2843359	2843856	2843855
# possibly misassembled contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
    # possible misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6
# local misassemblies	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	21	20	20
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	11	10	12
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# mismatches	7116	7013	7130	7004	7058	7061	7082	7120	6974	7059	7132	6861	6608	6435	6479	6874	7045	6761	4268	4140	3934
# indels	438	380	444	442	430	429	397	410	406	389	416	400	605	582	557	600	635	604	3556	3565	3513
    # indels (<= 5 bp)	394	340	403	401	389	389	356	371	366	348	375	361	564	545	522	563	596	567	3520	3527	3479
    # indels (> 5 bp)	44	40	41	41	41	40	41	39	40	41	41	39	41	37	35	37	39	37	36	38	34
Indels length	2474	2379	2417	2460	2439	2384	2363	2390	2335	2365	2425	2319	2645	2550	2492	2617	2681	2536	6136	6267	5933
